Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,418 B,(2 B),416 B,208.06
12M 2013,(388 B),(14 B),(401 B),-96.81
12M 2014,617 B,(20 B),597 B,138.49
12M 2015,163 B,(35 B),128 B,29.80
12M 2016,516 B,(29 B),488 B,109.86
12M 2017,801 B,(17 B),784 B,176.57
12M 2018,211 B,(27 B),184 B,41.37
12M 2019,"(2,101 B)",(24 B),"(2,125 B)",-478.80
12M 2020,(840 B),(11 B),(851 B),-191.72
12M 2021,"2,691 B",(25 B),"2,666 B",600.72
12M 2022,(287 B),(13 B),(300 B),-65.24
12M 2023,"1,364 B",(66 B),"1,298 B",173.57
12M 2024,"1,748 B",(40 B),"1,708 B",228.35
