Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,(45 B),(7 B),(45 B),-16.75
12M 2008,(19 B),(31 B),(50 B),-16.20
12M 2009,21 B,(38 B),(17 B),-5.41
12M 2010,(281 B),(67 B),(348 B),-33.56
12M 2011,(227 B),(66 B),(292 B),-28.18
12M 2012,177 B,(77 B),177 B,9.65
12M 2013,220 B,(155 B),65 B,6.28
12M 2014,(737 B),(96 B),(833 B),-80.41
12M 2015,"(1,058 B)",(51 B),(51 B),-102.06
12M 2016,(926 B),(82 B),(926 B),-97.22
12M 2017,(536 B),(54 B),(589 B),-56.85
12M 2018,(28 B),(60 B),(89 B),-8.57
12M 2019,(504 B),(38 B),(504 B),-52.27
12M 2020,29 B,(16 B),29 B,1.24
12M 2021,779 B,(14 B),779 B,73.83
12M 2022,(444 B),(20 B),(444 B),-44.70
12M 2023,(94 B),(42 B),(134 B),-13.14
12M 2024,164 B,(53 B),(53 B),10.70
