Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,3 B,(9 B),(7 B),-4.64
12M 2009,(149 B),(9 B),(159 B),-108.28
12M 2010,54 B,(16 B),38 B,25.77
12M 2011,(4 B),(23 B),(28 B),-18.91
12M 2012,(39 B),(23 B),(62 B),-42.29
12M 2013,28 B,(72 B),(44 B),-29.75
12M 2014,(40 B),(37 B),(76 B),-51.88
12M 2015,(66 B),(7 B),(73 B),-49.78
12M 2016,(27 B),(0 B),(27 B),-18.16
12M 2017,123 B,(46 B),77 B,52.27
12M 2018,(76 B),(153 B),(230 B),-156.61
12M 2019,(140 B),(162 B),(302 B),-38.97
12M 2020,89 B,(43 B),46 B,5.98
12M 2021,93 B,(14 B),78 B,10.12
12M 2022,24 B,(4 B),20 B,2.58
12M 2023,178 B,(5 B),174 B,22.40
12M 2024,(99 B),(2 B),(101 B),-13.00
