Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,,,,-2.63,,0.46
12M 2009,33.29,42.36,54.03,21.62,10.96,12.57,8.62,9.3,1.11,1.16,0.75,0.8,-2.59,-2.59,0.41
12M 2010,28.15,30.38,32.81,25.72,12.96,12.09,12.02,13.52,1.27,1.19,0.94,0.89,-3.42,-3.42,0.43
12M 2011,25.29,29.95,34.51,20.73,14.44,16.18,12.19,9.66,1.41,1.48,1.05,1.06,-3.74,-3.74,0.46
12M 2012,26.36,45.33,48.53,23.16,13.85,14.43,8.05,8.45,1.16,1.18,0.83,0.84,-3.63,-3.63,0.5
12M 2013,23.02,45.96,43.22,25.76,15.86,13.83,7.94,6.9,1.39,1.32,0.97,0.92,-3.41,-3.41,0.48
12M 2014,26.2,48.1,39.28,35.02,13.93,12.63,7.59,7.14,1.58,1.66,1.03,1.02,-2.7,-2.7,0.42
12M 2015,28.94,48.13,50.84,26.23,12.61,14.03,7.58,9.05,1.58,1.55,0.95,0.94,-2.02,-2.02,0.35
12M 2016,34.27,58.02,84.09,8.2,10.65,10.87,6.29,7.34,1.22,1.33,0.73,0.8,-2.62,-2.62,0.42
12M 2017,37.81,76.86,87.06,27.61,9.65,7.07,4.75,3.61,0.98,1.02,0.65,0.61,-1.87,-1.87,0.47
12M 2018,31.47,69.21,84.61,16.07,11.6,7.97,5.27,5.08,0.93,0.88,0.65,0.61,-1.99,-1.99,0.38
12M 2019,35.39,88.76,61.05,63.1,10.31,10.14,4.11,3.32,0.7,0.69,0.5,0.49,-2.01,-2.01,0.44
12M 2020,38.31,137.22,9.9,165.63,9.53,12.29,2.66,2.45,0.5,0.46,0.37,0.34,-1.25,-1.25,0.38
12M 2021,20.95,114.6,13.08,122.47,17.43,21.73,3.18,3.39,0.6,0.6,0.45,0.45,-1.47,-1.47,0.35
12M 2022,18.31,127.57,21.06,124.82,19.93,24.8,2.86,2.48,0.55,0.54,0.42,0.41,-1.33,-1.33,0.37
12M 2023,22.13,160.98,43.21,139.9,16.49,16.7,2.27,2.28,0.41,0.41,0.31,0.32,-0.83,-0.83,0.33
12M 2024,23.44,125.65,36.98,112.11,15.57,13.87,2.9,3.26,0.45,0.48,0.36,0.39,-0.9,-0.9,0.28
