Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,612 B,(804 B),(192 B),-464.50
12M 2011,148 B,"(1,663 B)","(1,514 B)",-550.08
12M 2012,"1,289 B","(2,061 B)",(771 B),-280.15
12M 2013,"1,268 B","(1,509 B)",(241 B),-87.64
12M 2014,"1,393 B",(931 B),461 B,167.59
12M 2015,"2,619 B",(837 B),"1,782 B",647.18
12M 2016,"1,617 B",(312 B),"1,305 B",473.84
12M 2017,"2,044 B",(613 B),"1,431 B",519.78
12M 2018,"1,967 B",(361 B),"1,606 B",583.21
12M 2019,836 B,(630 B),206 B,74.80
12M 2020,"1,867 B",(791 B),"1,076 B",390.72
12M 2021,"5,205 B","(1,086 B)","4,119 B",1496.10
12M 2022,"7,807 B","(5,296 B)","2,512 B",912.31
12M 2023,"5,980 B","(5,446 B)",533 B,193.68
12M 2024,"5,784 B","(3,324 B)","2,460 B",893.54
