Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,0.41 B,414.65,0.00,0.00,,3.50%,15.20%,21.43%,2.69
12M 2011,2.75 B,151.00,25.33,1.59,,4.21%,13.76%,15.52%,3.34
12M 2012,2.75 B,47.90,62.63,0.96,,1.08%,3.95%,7.06%,1.31
12M 2013,2.75 B,20.41,146.99,0.87,,0.38%,1.42%,7.28%,0.93
12M 2014,2.75 B,-513.62,-5.94,0.93,,-10.03%,-54.86%,-8.23%,-1.63
12M 2015,2.75 B,-185.09,-15.67,0.91,,-3.10%,-22.67%,0.35%,0.07
12M 2016,2.75 B,61.09,33.23,0.71,,1.17%,7.16%,5.51%,1.21
12M 2017,2.75 B,27.09,84.90,0.68,,0.53%,3.06%,7.13%,1.18
12M 2018,2.75 B,338.97,6.70,0.57,"3,074.47 B",7.56%,24.36%,19.15%,2.93
12M 2019,2.75 B,38.83,39.40,0.50,"1,470.88 B",0.90%,2.89%,8.43%,1.46
12M 2020,2.75 B,-188.80,-4.03,0.24,"1,106.73 B",-4.45%,-19.93%,2.82%,0.37
12M 2021,2.75 B,769.36,1.85,0.27,"5,217.90 B",14.31%,42.92%,46.99%,5.28
12M 2022,2.75 B,1458.38,2.25,0.42,"8,550.50 B",12.99%,46.79%,37.01%,7.54
12M 2023,2.75 B,1601.26,2.12,0.41,"8,358.98 B",13.24%,37.62%,20.80%,2.88
12M 2024,2.75 B,802.34,4.41,0.51,"4,961.87 B",6.52%,16.25%,6.93%,0.98
