Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,"1,181 B",(487 B),694 B,32920.27
12M 2014,913 B,(444 B),469 B,222.42
12M 2015,919 B,(181 B),738 B,350.25
12M 2016,"1,248 B",(170 B),"1,079 B",511.88
12M 2017,"1,332 B",(340 B),992 B,470.76
12M 2018,"1,413 B",(276 B),"1,137 B",539.41
12M 2019,"1,335 B",(322 B),"1,012 B",480.42
12M 2020,873 B,(255 B),617 B,292.95
12M 2021,"1,168 B",(252 B),916 B,434.57
12M 2022,"1,490 B",(319 B),"1,171 B",555.92
12M 2023,"1,019 B",(252 B),767 B,364.01
12M 2024,"1,862 B",(221 B),"1,641 B",778.62
