Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,130 B",(757 B),374 B,23.94
12M 2009,456 B,(74 B),382 B,24.47
12M 2010,227 B,(68 B),159 B,7.28
12M 2011,"1,134 B",(491 B),643 B,29.42
12M 2012,280 B,(411 B),(131 B),-6.01
12M 2013,111 B,(192 B),(81 B),-3.71
12M 2014,261 B,(75 B),186 B,8.53
12M 2015,375 B,(217 B),159 B,7.26
12M 2016,610 B,(555 B),55 B,2.52
12M 2017,(13 B),(96 B),(109 B),-4.98
12M 2018,262 B,(276 B),(15 B),-0.68
12M 2019,(227 B),(537 B),(763 B),-34.93
12M 2020,727 B,(625 B),102 B,4.67
12M 2021,963 B,(227 B),736 B,33.67
12M 2022,222 B,(226 B),(4 B),-0.20
12M 2023,"1,110 B",(187 B),923 B,42.24
12M 2024,613 B,"(1,436 B)",(823 B),-37.65
