Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,15.61 B,7.42,6.06,0.29,,1.97%,3.81%,14.11%,1.81
12M 2009,15.61 B,-0.62,-198.39,1.01,,-0.22%,-0.38%,1.28%,0.43
12M 2010,21.85 B,0.19,373.68,0.75,,0.10%,0.14%,1.48%,0.69
12M 2011,21.85 B,-9.96,-7.83,0.66,,-5.91%,-7.69%,-2.03%,-2.41
12M 2012,21.85 B,-18.15,-2.75,0.34,,-9.34%,-15.05%,-6.30%,-6.33
12M 2013,21.85 B,-28.85,-1.73,0.40,,-14.13%,-23.29%,-9.19%,-6.22
12M 2014,21.85 B,0.20,250.00,0.37,,0.10%,0.16%,0.47%,0.48
12M 2015,21.85 B,0.29,172.41,0.34,,0.12%,0.21%,5.26%,5.12
12M 2016,21.85 B,0.32,156.25,0.32,,0.14%,0.23%,1.84%,0.89
12M 2017,21.85 B,1.69,29.59,0.34,,0.68%,1.20%,8.70%,3.91
12M 2018,21.85 B,1.67,29.94,0.28,512.92 B,0.61%,1.09%,3.76%,2.24
12M 2019,21.85 B,2.44,20.49,0.22,582.89 B,0.70%,1.64%,3.41%,1.50
12M 2020,21.85 B,1.09,45.87,0.25,514.06 B,0.31%,0.63%,-0.61%,-0.20
12M 2021,21.85 B,0.71,70.42,0.24,"1,127.93 B",0.19%,0.40%,6.90%,2.28
12M 2022,21.85 B,-11.39,-4.65,0.19,741.25 B,-2.91%,-6.29%,-3.74%,-0.96
12M 2023,21.85 B,1.62,37.04,0.18,"1,063.09 B",0.43%,1.07%,5.18%,1.44
12M 2024,21.85 B,0.75,148.00,0.40,896.16 B,0.19%,0.49%,3.66%,1.96
