Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,103 B,(9 B),95 B,626.19
12M 2009,28 B,(6 B),21 B,141.86
12M 2010,8 B,(9 B),(1 B),-9.19
12M 2011,11 B,(0 B),10 B,68.67
12M 2012,(1 B),8 B,7 B,46.38
12M 2013,(119 B),(39 B),(158 B),-1045.65
12M 2014,42 B,(5 B),38 B,249.01
12M 2015,22 B,(17 B),5 B,30.13
12M 2016,184 B,(35 B),150 B,990.19
12M 2017,86 B,(68 B),18 B,116.40
12M 2018,7 B,(48 B),(41 B),-271.36
12M 2019,180 B,(15 B),165 B,1088.32
12M 2020,406 B,(7 B),399 B,2636.24
12M 2021,(262 B),(3 B),(266 B),-1757.99
12M 2022,(155 B),(30 B),(185 B),-1222.45
12M 2023,186 B,(27 B),159 B,1048.62
12M 2024,(318 B),(60 B),(378 B),-2503.17
