Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.15 B,0.52,567.31,0.04,,0.01%,0.09%,105.62%,3.98
12M 2009,0.15 B,104.76,4.68,0.10,,2.70%,15.45%,20.55%,1.28
12M 2010,0.15 B,-6.72,-92.26,0.11,,-0.18%,-1.03%,2.88%,0.23
12M 2011,0.15 B,196.44,3.05,0.07,,4.74%,23.30%,42.23%,5.25
12M 2012,0.15 B,210.22,9.04,0.23,,4.48%,22.25%,44.41%,6.15
12M 2013,0.15 B,149.25,19.10,0.29,,1.82%,15.28%,73.58%,4.55
12M 2014,0.15 B,157.73,14.90,0.24,,2.24%,13.92%,45.19%,2.32
12M 2015,0.15 B,16.42,82.22,0.12,,0.18%,0.68%,32.52%,2.83
12M 2016,0.15 B,875.81,4.00,0.26,,8.34%,28.15%,44.59%,5.46
12M 2017,0.15 B,551.29,8.53,0.33,,4.32%,15.23%,26.05%,3.52
12M 2018,0.15 B,584.83,11.37,0.31,242.21 B,4.25%,14.51%,28.17%,3.70
12M 2019,0.15 B,678.01,9.11,0.32,249.67 B,5.43%,13.56%,25.80%,4.23
12M 2020,0.15 B,78.86,71.01,0.54,90.78 B,0.79%,1.62%,6.26%,1.93
12M 2021,0.15 B,-312.04,-19.39,0.53,(12.28 B),-2.72%,-6.78%,-6.13%,-2.97
12M 2022,0.15 B,381.12,12.96,0.27,131.00 B,2.62%,7.70%,12.73%,1.68
12M 2023,0.15 B,425.86,5.71,0.12,184.17 B,2.98%,8.12%,18.00%,2.90
12M 2024,0.15 B,506.49,1.20,0.03,124.62 B,2.99%,9.22%,12.97%,4.97
