Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.78 B,259.84,2.04,0.09,,5.89%,25.35%,66.81%,3.82
12M 2009,0.78 B,126.82,5.91,0.16,,3.21%,12.96%,8.25%,1.04
12M 2010,0.78 B,140.01,5.71,0.16,,3.04%,13.35%,9.11%,1.38
12M 2011,0.78 B,97.72,8.19,0.11,,1.89%,8.62%,10.38%,1.40
12M 2012,0.78 B,104.44,7.09,0.09,,2.01%,8.31%,17.22%,1.89
12M 2013,0.78 B,109.51,6.57,0.10,,1.88%,6.99%,14.24%,2.27
12M 2014,0.78 B,208.86,8.62,0.24,,3.49%,11.93%,16.67%,3.30
12M 2015,1.56 B,2.61,191.57,0.12,,0.08%,0.29%,12.40%,1.75
12M 2016,1.56 B,38.52,9.09,0.08,,1.06%,4.17%,12.10%,2.21
12M 2017,1.56 B,96.09,5.20,0.12,,2.60%,9.18%,11.99%,2.39
12M 2018,1.56 B,128.42,4.79,0.14,589.00 B,3.17%,10.64%,13.55%,2.16
12M 2019,1.56 B,115.75,5.27,0.15,599.15 B,3.08%,9.38%,14.37%,1.99
12M 2020,1.56 B,48.22,10.16,0.14,478.39 B,1.36%,3.78%,10.63%,1.96
12M 2021,1.56 B,175.93,4.06,0.17,735.07 B,4.41%,11.07%,15.18%,4.45
12M 2022,1.56 B,205.78,6.75,0.28,776.27 B,5.27%,11.86%,15.44%,4.25
12M 2023,1.56 B,103.17,12.65,0.28,546.23 B,2.86%,5.96%,9.55%,3.65
12M 2024,1.56 B,141.26,7.22,0.21,610.49 B,3.64%,7.67%,11.36%,4.43
