Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(39 B),"(1,866 B)","(1,905 B)",-48.11
12M 2009,171 B,(350 B),(179 B),-4.42
12M 2010,119 B,(135 B),(16 B),-0.40
12M 2011,(46 B),(106 B),(152 B),-3.75
12M 2012,78 B,(93 B),(15 B),-0.38
12M 2013,54 B,(200 B),(145 B),-3.59
12M 2014,22 B,(152 B),(129 B),-3.19
12M 2015,11 B,(243 B),(232 B),-5.74
12M 2016,307 B,(77 B),230 B,5.69
12M 2017,(146 B),(31 B),(177 B),-4.36
12M 2018,110 B,(60 B),50 B,0.84
12M 2019,359 B,(43 B),315 B,5.30
12M 2020,757 B,(122 B),635 B,10.66
12M 2021,99 B,(172 B),(73 B),-1.23
12M 2022,284 B,(166 B),119 B,1.99
12M 2023,323 B,(117 B),206 B,3.46
12M 2024,766 B,(204 B),562 B,9.43
