Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,39.60 B,-10.27,-5.45,0.27,,-4.34%,-12.16%,16.47%,1.46
12M 2009,40.47 B,-5.37,-11.17,0.36,,-2.50%,-6.76%,-2.75%,-0.41
12M 2010,40.47 B,-15.71,-3.37,0.34,,-7.54%,-24.69%,-7.32%,-0.85
12M 2011,40.47 B,-50.31,-1.05,0.28,,-28.83%,-379.53%,-13.92%,-0.69
12M 2012,40.47 B,-10.77,-4.92,0.31,,-6.11%,-434.84%,-1.08%,-0.03
12M 2013,40.47 B,29.66,1.69,0.26,,16.72%,92.29%,-34.35%,-1.59
12M 2014,40.47 B,-9.62,-10.71,0.44,,-5.50%,-42.74%,4.09%,0.77
12M 2015,40.47 B,-29.66,-1.69,0.23,,-13.21%,-60.74%,0.37%,0.05
12M 2016,40.47 B,-49.12,-1.02,0.24,,-27.14%,-1081.58%,-23.04%,-3.20
12M 2017,40.47 B,-65.14,-0.77,0.31,,-37.63%,148.55%,-69.78%,-2.68
12M 2018,59.57 B,28.92,1.73,0.40,479.16 B,26.21%,256.09%,33.09%,0.90
12M 2019,59.57 B,-5.86,-8.53,0.42,514.20 B,-5.82%,-106.59%,18.63%,1.02
12M 2020,59.57 B,6.39,7.82,0.39,762.75 B,6.02%,54.02%,57.15%,1.55
12M 2021,59.57 B,37.13,2.56,0.70,985.80 B,34.30%,77.37%,29.17%,3.32
12M 2022,59.57 B,6.27,8.45,0.38,938.35 B,5.47%,11.75%,17.43%,3.33
12M 2023,59.57 B,6.74,7.57,0.34,862.11 B,5.86%,11.75%,15.07%,3.34
12M 2024,59.57 B,5.37,9.31,0.32,807.68 B,4.77%,8.97%,14.64%,3.31
