Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.09,1.35,1.46,2.8,0.0,0.0,1.39,0.52,1.8
12M 2009,1.9,1.22,1.37,2.71,0.0,0.0,1.3,0.5,1.71
12M 2010,0.73,0.47,1.63,3.28,0.0,0.0,1.54,0.5,2.27
12M 2011,0.56,0.38,8.25,13.16,0.0,0.0,7.93,0.63,12.15
12M 2012,0.58,0.4,46.13,71.12,0.0,0.0,44.93,0.65,70.02
12M 2013,1.21,0.82,3.15,5.52,0.0,0.0,3.01,0.57,4.51
12M 2014,1.13,0.68,4.71,7.78,0.0,0.0,4.53,0.61,6.77
12M 2015,1.0,0.56,2.64,4.6,0.0,0.0,2.57,0.57,3.59
12M 2016,0.63,0.33,27.75,39.84,0.0,0.0,27.2,0.7,38.86
12M 2017,0.28,0.18,-3.76,-3.95,-0.0,0.0,-3.45,0.95,-4.95
12M 2018,0.61,0.35,6.1,9.77,0.0,0.0,5.93,0.62,8.77
12M 2019,0.31,0.16,12.68,18.32,0.0,0.0,12.29,0.69,17.32
12M 2020,0.33,0.18,5.31,8.97,0.0,0.0,4.88,0.59,7.97
12M 2021,0.88,0.36,0.85,2.26,0.0,0.0,0.82,0.38,1.25
12M 2022,1.09,0.42,0.79,2.15,0.0,0.0,0.77,0.37,1.15
12M 2023,1.07,0.42,0.68,2.01,0.0,0.0,0.66,0.34,1.01
12M 2024,1.03,0.45,0.54,1.88,0.0,0.0,0.51,0.29,0.88
