Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,7.72,,0.15,,,0.0
12M 2009,,,,,,,,,7.43,7.58,0.16,0.14,,,0.0
12M 2010,,,,,,,,,11.03,10.19,0.19,0.16,,,0.0
12M 2011,,,,,,,,,9.34,9.93,0.13,0.13,,,0.0
12M 2012,,,,,,,,,10.66,9.75,0.19,0.2,,,0.0
12M 2013,,,,,,,,,10.02,9.72,0.27,0.24,,,0.0
12M 2014,,,,,,,,,12.08,12.66,0.3,0.22,,,0.0
12M 2015,,,,,,,,,11.91,12.88,0.25,0.25,,,0.0
12M 2016,,,,,,,,,20.51,21.53,0.28,0.26,,,0.0
12M 2017,49.32,,,,,,,,93.47,84.55,0.96,0.81,,,0.0
12M 2018,29.12,,,,,,,,95.84,83.1,2.62,2.18,,,0.0
12M 2019,21.47,,,,,,,,78.65,70.73,2.98,2.91,,,0.0
12M 2020,15.82,,,,,,,,46.22,37.03,2.93,3.29,,,0.0
12M 2021,7.33,,,,,,,,37.24,37.38,3.84,3.96,,,0.0
12M 2022,5.14,,,,,,,,35.19,32.37,4.09,4.03,,,0.0
12M 2023,5.5,,,,,,,,31.24,30.53,4.04,4.05,,,0.0
12M 2024,9.94,,,,,,,,19.24,20.36,2.51,2.55,,,0.0
