Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.46,199.47,1.46,199.47,,,,(42 B),
12M 2009,1.70,219.78,1.70,219.78,,,,(26 B),
12M 2010,2.30,253.52,2.30,253.52,,,,(206 B),
12M 2011,2.16,351.99,2.16,351.99,,,,(74 B),
12M 2012,2.89,95.05,2.89,95.05,,,,(84 B),
12M 2013,3.67,100.92,3.67,100.84,,,,(38 B),
12M 2014,3.78,128.38,3.78,128.31,,,,(64 B),
12M 2015,14.92,142.07,14.93,142.01,,,,(91 B),
12M 2016,12.52,37.37,12.53,37.35,,,,(90 B),
12M 2017,9.82,53.95,9.83,53.92,,,,(201 B),
12M 2018,7.79,84.11,7.83,83.68,,,,(259 B),
12M 2019,5.66,88.37,5.72,87.36,,,,(634 B),
12M 2020,1.46,57.73,1.49,56.34,,,,(370 B),
12M 2021,3.00,31.98,3.12,30.77,,,,(388 B),
12M 2022,2.73,18.30,2.95,16.95,,,,(320 B),
12M 2023,5.13,9.75,5.81,8.60,,,,(268 B),
12M 2024,0.76,7.90,0.86,6.97,,,,(206 B),
