Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(55 B),(4 B),(59 B),-100.30
12M 2009,14 B,(4 B),11 B,18.18
12M 2010,285 B,(5 B),279 B,460.07
12M 2011,(230 B),(2 B),(232 B),-305.56
12M 2012,(55 B),(7 B),(63 B),-19.80
12M 2013,9 B,(6 B),3 B,0.86
12M 2014,(47 B),(4 B),(52 B),-14.24
12M 2015,68 B,(2 B),65 B,17.94
12M 2016,49 B,(2 B),47 B,2.58
12M 2017,192 B,(7 B),185 B,10.15
12M 2018,215 B,(113 B),101 B,5.56
12M 2019,(144 B),(113 B),(257 B),-14.11
12M 2020,(124 B),(55 B),(180 B),-9.88
12M 2021,210 B,(80 B),130 B,7.14
12M 2022,37 B,(55 B),(19 B),-1.02
12M 2023,132 B,(101 B),31 B,1.71
12M 2024,(49 B),(40 B),(89 B),-4.87
