Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,4.50 B,72.65,5.51,0.50,,11.02%,14.62%,29.90%,118.87
12M 2009,4.50 B,80.21,9.10,0.73,,11.06%,14.98%,17.77%,116.83
12M 2010,4.50 B,109.95,15.55,1.50,,13.78%,19.00%,21.93%,81.66
12M 2011,4.50 B,125.79,20.27,1.99,,13.32%,18.83%,21.94%,76.78
12M 2012,4.50 B,139.54,26.69,2.53,,13.55%,18.90%,21.91%,107.17
12M 2013,4.50 B,141.03,23.04,2.13,,11.73%,16.60%,19.95%,103.81
12M 2014,4.50 B,128.75,22.25,1.72,,10.36%,14.18%,16.12%,70.06
12M 2015,4.50 B,115.99,15.09,0.96,,8.31%,12.17%,15.47%,119.19
12M 2016,4.50 B,119.17,16.53,0.97,,8.14%,11.70%,14.53%,86.19
12M 2017,4.50 B,120.85,14.89,0.85,,7.31%,11.34%,12.24%,26.69
12M 2018,4.50 B,113.78,12.22,0.62,907.58 B,6.51%,9.97%,12.48%,24.05
12M 2019,4.50 B,123.17,11.33,0.57,"1,017.69 B",6.62%,10.10%,13.01%,16.54
12M 2020,4.50 B,175.07,8.00,0.57,"1,344.02 B",8.65%,13.01%,15.92%,22.25
12M 2021,4.51 B,182.66,8.21,0.60,"1,341.00 B",8.54%,12.61%,14.88%,22.95
12M 2022,4.51 B,222.10,6.35,0.52,976.15 B,8.84%,13.88%,9.12%,11.24
12M 2023,4.51 B,261.08,7.03,0.63,"1,393.09 B",10.41%,15.30%,12.91%,13.85
12M 2024,4.51 B,321.01,7.79,0.83,"2,242.61 B",11.59%,16.66%,19.94%,25.25
