Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,3.83,2.79,0.05,1.33,0.0,0.0,-0.4,0.04,0.29
12M 2009,3.47,2.61,0.06,1.35,0.0,0.0,-0.43,0.04,0.34
12M 2010,3.37,2.61,0.09,1.38,0.0,0.0,-0.44,0.07,0.36
12M 2011,3.08,2.37,0.09,1.41,0.0,0.0,-0.45,0.06,0.4
12M 2012,3.09,2.4,0.06,1.39,0.0,0.0,-0.43,0.05,0.39
12M 2013,2.96,2.22,0.09,1.41,0.0,0.0,-0.38,0.06,0.4
12M 2014,3.0,2.15,0.04,1.37,0.0,0.0,-0.31,0.03,0.36
12M 2015,2.54,1.81,0.05,1.47,0.0,0.0,-0.36,0.03,0.45
12M 2016,2.65,1.83,0.07,1.44,0.0,0.0,-0.3,0.05,0.43
12M 2017,2.52,1.78,0.1,1.55,0.0,0.0,-0.31,0.07,0.49
12M 2018,2.52,1.78,0.12,1.53,0.0,0.0,-0.25,0.08,0.47
12M 2019,2.78,2.06,0.14,1.53,0.0,0.0,-0.27,0.09,0.47
12M 2020,2.96,2.22,0.15,1.5,0.0,0.0,-0.28,0.1,0.45
12M 2021,3.29,2.44,0.16,1.48,0.0,0.0,-0.25,0.11,0.42
12M 2022,2.48,1.84,0.24,1.57,0.0,0.0,-0.25,0.15,0.52
12M 2023,2.69,2.03,0.2,1.47,0.0,0.0,-0.28,0.13,0.42
12M 2024,3.09,2.32,0.13,1.44,0.0,0.0,-0.38,0.09,0.38
