Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,51 B,(127 B),(76 B),-76.22
12M 2013,(86 B),(393 B),(479 B),-359.18
12M 2014,(7 B),(209 B),(216 B),-161.99
12M 2015,42 B,(111 B),(69 B),-51.82
12M 2016,116 B,(110 B),7 B,5.08
12M 2017,94 B,(24 B),70 B,52.71
12M 2018,91 B,(36 B),54 B,40.59
12M 2019,124 B,(32 B),92 B,68.96
12M 2020,(0 B),(40 B),(41 B),-30.53
12M 2021,14 B,(28 B),(14 B),-10.54
12M 2022,29 B,(23 B),6 B,4.41
12M 2023,(43 B),(29 B),(72 B),-53.72
12M 2024,59 B,(46 B),12 B,9.21
