Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2012,,,,,,,,,,,,,9.73,,1.81
12M 2013,1.39,69.31,40.75,29.95,262.34,198.94,5.27,4.13,7.13,5.05,1.62,1.03,1.58,1.58,5.56
12M 2014,1.1,94.83,35.87,60.06,330.45,275.1,3.85,4.16,4.5,4.02,1.11,1.15,1.75,1.75,8.6
12M 2015,1.93,116.72,21.89,96.76,189.03,214.94,3.13,3.74,3.23,3.15,0.91,0.92,1.46,1.46,14.03
12M 2016,3.2,112.32,17.74,97.78,114.02,145.68,3.25,3.09,2.85,2.71,0.88,0.89,1.47,1.47,10.29
12M 2017,4.81,96.89,25.47,76.23,75.94,80.21,3.77,3.77,3.11,3.19,0.96,0.97,1.57,1.57,9.18
12M 2018,4.38,79.01,26.21,57.18,83.37,101.12,4.62,4.67,3.45,3.4,1.04,1.04,1.79,1.79,8.4
12M 2019,3.09,59.84,54.05,8.88,118.1,136.72,6.1,6.92,3.21,3.12,1.05,1.04,4.58,4.58,2.08
12M 2020,4.06,51.36,95.49,-40.07,89.93,118.12,7.11,6.74,2.52,2.47,0.91,0.92,2.91,2.91,2.4
12M 2021,3.83,53.2,88.3,-31.27,95.3,102.04,6.86,6.78,2.77,2.79,1.0,1.0,2.69,2.69,2.59
12M 2022,3.63,52.28,82.46,-26.55,100.66,96.29,6.98,6.52,3.37,3.41,1.2,1.22,4.16,4.16,2.11
12M 2023,6.12,52.92,75.38,-16.34,59.65,49.42,6.9,6.18,3.85,3.88,1.44,1.43,5.43,5.43,1.96
12M 2024,6.98,61.54,72.96,-4.44,52.31,65.14,5.93,5.47,3.78,3.77,1.44,1.44,5.75,5.75,1.97
