Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,26 B,(31 B),(5 B),-8.76
12M 2009,0 B,(6 B),(6 B),-9.93
12M 2010,93 B,(31 B),63 B,106.55
12M 2011,5 B,(16 B),(11 B),-18.99
12M 2012,48 B,(23 B),25 B,42.96
12M 2013,11 B,(0 B),11 B,15.27
12M 2014,12 B,(0 B),11 B,15.99
12M 2015,6 B,(0 B),5 B,7.82
12M 2016,3 B,(1 B),3 B,4.24
12M 2017,(2 B),(0 B),(2 B),-3.11
12M 2018,17 B,(1 B),17 B,23.64
12M 2019,4 B,,4 B,5.23
12M 2020,2 B,,2 B,2.67
12M 2021,32 B,,32 B,45.14
12M 2022,1 B,,1 B,0.83
