Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(148 B),(12 B),(161 B),-111.80
12M 2009,267 B,(6 B),262 B,182.42
12M 2010,(173 B),(11 B),(184 B),-127.92
12M 2011,"(1,123 B)",(10 B),"(1,133 B)",-788.84
12M 2012,(432 B),(23 B),(455 B),-276.40
12M 2013,(69 B),(12 B),(81 B),-49.17
12M 2014,365 B,(16 B),349 B,211.99
12M 2015,506 B,(24 B),482 B,293.14
12M 2016,(424 B),(22 B),(446 B),-271.01
12M 2017,(627 B),(23 B),(649 B),-394.47
12M 2018,(468 B),(16 B),(484 B),-294.12
12M 2019,26 B,(14 B),12 B,7.42
12M 2020,"1,198 B",(5 B),"1,193 B",724.80
12M 2021,411 B,(3 B),407 B,247.46
12M 2022,(652 B),(5 B),(657 B),-399.10
12M 2023,"(1,221 B)",(12 B),"(1,233 B)",-748.88
12M 2024,(975 B),(15 B),(990 B),-601.62
