Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2010,1.34,1.32,0.41,1.78,0.0,0.0,0.2,0.23,0.78
12M 2011,2.0,1.91,0.3,1.42,0.0,0.0,0.16,0.21,0.42
12M 2012,1.29,1.25,0.52,1.69,0.0,0.0,0.46,0.31,0.69
12M 2013,0.63,0.6,0.45,1.55,0.0,0.0,0.38,0.29,0.55
12M 2014,0.6,0.57,0.4,1.57,0.0,0.0,0.39,0.25,0.57
12M 2015,0.31,0.3,0.7,1.95,0.0,0.0,0.69,0.36,0.95
12M 2016,0.27,0.26,1.05,2.66,0.0,0.0,1.01,0.39,1.66
12M 2017,0.5,0.48,0.92,2.46,0.0,0.0,0.9,0.38,1.46
12M 2018,0.73,0.69,0.86,2.31,0.0,0.0,0.82,0.37,1.31
12M 2019,0.96,0.94,0.73,2.17,0.0,0.0,0.7,0.34,1.17
12M 2020,2.62,2.57,0.72,2.12,0.0,0.0,0.7,0.34,1.12
12M 2021,3.59,3.49,0.76,2.19,0.0,0.0,0.7,0.35,1.19
12M 2022,4.44,4.37,0.27,2.13,0.0,0.0,0.22,0.12,1.13
12M 2023,3.07,2.86,0.0,1.83,0.0,0.0,-0.12,0.0,0.83
12M 2024,3.21,3.07,0.0,1.58,0.0,0.0,-0.02,0.0,0.58
