Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,9.24,,1.34
12M 2011,40.25,5.78,24.69,21.34,9.07,9.49,63.2,53.59,1.09,1.04,0.73,0.71,4.85,4.85,2.0
12M 2012,44.37,7.46,25.68,26.15,8.23,7.41,48.92,57.52,0.94,0.85,0.67,0.61,10.24,10.24,1.29
12M 2013,43.36,8.37,26.66,25.07,8.42,7.24,43.62,41.98,0.69,0.64,0.53,0.49,-4.5,-4.5,0.63
12M 2014,33.94,6.94,26.31,14.57,10.75,11.75,52.61,69.3,0.53,0.55,0.43,0.45,-4.88,-4.88,0.6
12M 2015,154.68,8.36,68.97,94.07,2.36,1.88,43.65,65.24,0.13,0.12,0.11,0.11,-0.54,-0.54,0.31
12M 2016,117.69,5.97,67.09,56.57,3.1,3.58,61.16,67.57,0.23,0.25,0.2,0.22,-0.72,-0.72,0.27
12M 2017,71.85,7.24,57.22,21.87,5.08,7.21,50.43,83.52,0.3,0.31,0.26,0.27,-2.73,-2.73,0.5
12M 2018,37.6,7.6,44.0,1.2,9.71,7.3,48.0,30.18,0.37,0.36,0.32,0.31,-7.39,-7.39,0.73
12M 2019,48.85,7.51,38.57,17.79,7.47,7.79,48.59,55.98,0.42,0.43,0.35,0.37,-66.16,-66.16,0.96
12M 2020,78.64,5.65,34.82,49.47,4.64,4.42,64.55,26.65,0.44,0.44,0.36,0.35,3.01,3.01,2.62
12M 2021,73.98,7.47,36.8,44.65,4.93,5.11,48.87,21.44,0.46,0.46,0.35,0.34,2.13,2.13,3.59
12M 2022,72.9,5.09,21.91,56.08,5.01,3.99,71.78,82.01,0.62,0.61,0.46,0.43,2.39,2.39,4.44
12M 2023,141.3,12.33,19.25,134.38,2.58,3.19,29.59,22.46,0.49,0.54,0.35,0.35,1.84,1.84,3.07
12M 2024,122.6,18.15,19.7,121.05,2.98,3.51,20.11,38.01,0.65,0.69,0.43,0.46,2.24,2.24,3.21
