Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,5 B,(133 B),(128 B),-232.42
12M 2011,51 B,(98 B),(47 B),-85.34
12M 2012,31 B,(164 B),(133 B),-241.06
12M 2013,139 B,(96 B),43 B,78.89
12M 2014,28 B,(8 B),21 B,37.33
12M 2015,(54 B),(4 B),(58 B),-105.75
12M 2016,10 B,(0 B),10 B,17.82
12M 2017,56 B,(0 B),56 B,101.55
12M 2018,49 B,(0 B),48 B,88.05
12M 2019,56 B,(1 B),55 B,99.41
12M 2020,30 B,(0 B),29 B,53.28
12M 2021,64 B,(39 B),24 B,44.44
12M 2022,61 B,(64 B),(3 B),-6.03
12M 2023,5 B,(71 B),(71 B),-119.70
12M 2024,(14 B),(17 B),(31 B),-56.01
