Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,0.55 B,71.08,0.00,0.00,,7.83%,13.91%,23.79%,415.70
12M 2011,0.55 B,55.27,16.83,1.33,,5.56%,7.90%,9.66%,6.54
12M 2012,0.55 B,71.75,11.71,1.06,,5.22%,8.80%,9.64%,7.62
12M 2013,0.55 B,76.22,12.33,1.16,,4.53%,7.01%,10.88%,4.36
12M 2014,0.55 B,-123.71,-7.68,1.36,,-8.09%,-12.72%,-5.78%,-1.87
12M 2015,0.55 B,-313.24,-2.70,5.14,,-21.18%,-41.29%,-22.29%,-6.89
12M 2016,0.55 B,-177.75,-4.50,3.16,,-16.40%,-43.69%,-11.96%,-2.79
12M 2017,0.55 B,-51.35,-11.68,2.25,,-5.22%,-12.83%,-0.69%,-0.18
12M 2018,0.55 B,3.09,103.56,1.01,56.86 B,0.31%,0.71%,4.98%,1.47
12M 2019,0.55 B,5.66,34.28,0.58,52.70 B,0.62%,1.35%,4.20%,2.24
12M 2020,0.55 B,0.10,1600.00,0.49,44.08 B,0.01%,0.02%,2.04%,1.66
12M 2021,0.55 B,3.05,123.28,1.15,46.95 B,0.32%,0.70%,1.65%,1.65
12M 2022,0.55 B,14.29,33.59,0.97,61.38 B,1.21%,2.58%,3.55%,4.88
12M 2023,0.55 B,28.62,11.67,0.86,17.03 B,2.70%,4.94%,-7.84%,-5.54
12M 2024,0.55 B,3.49,65.90,0.53,85.85 B,0.36%,0.57%,3.61%,4.72
