Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,23 B,(10 B),13 B,8.77
12M 2009,79 B,(33 B),47 B,31.20
12M 2010,83 B,(31 B),52 B,35.12
12M 2011,113 B,(61 B),52 B,34.70
12M 2012,28 B,(35 B),(7 B),-4.49
12M 2013,73 B,(49 B),24 B,16.06
12M 2014,33 B,(79 B),(46 B),-31.07
12M 2015,86 B,(59 B),27 B,18.09
12M 2016,266 B,(63 B),203 B,96.00
12M 2017,132 B,(35 B),96 B,45.58
12M 2018,224 B,(51 B),173 B,81.96
12M 2019,113 B,(133 B),(20 B),-9.28
12M 2020,700 B,(60 B),640 B,302.70
12M 2021,792 B,(47 B),745 B,266.82
12M 2022,919 B,(57 B),862 B,273.34
12M 2023,687 B,(32 B),655 B,207.65
12M 2024,711 B,(39 B),671 B,212.89
