Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,32 B,(16 B),16 B,71.66
12M 2009,19 B,(15 B),4 B,19.17
12M 2010,26 B,(22 B),4 B,19.97
12M 2011,36 B,(21 B),15 B,67.43
12M 2012,39 B,(58 B),(19 B),-85.80
12M 2013,20 B,(35 B),(15 B),-66.77
12M 2014,14 B,(62 B),(48 B),-216.15
12M 2015,25 B,(28 B),(3 B),-13.10
12M 2016,48 B,(33 B),15 B,68.53
12M 2017,57 B,(33 B),24 B,110.30
12M 2018,63 B,(35 B),28 B,127.01
12M 2019,68 B,(53 B),15 B,67.85
12M 2020,22 B,(19 B),3 B,14.08
12M 2021,45 B,(16 B),29 B,131.58
12M 2022,39 B,(12 B),26 B,119.55
12M 2023,69 B,(21 B),48 B,216.31
12M 2024,83 B,(29 B),55 B,247.42
