Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,"5,804 B",(298 B),"5,506 B",265.34
12M 2008,522 B,(614 B),(92 B),-4.39
12M 2009,"12,360 B",(651 B),"11,709 B",558.35
12M 2010,"42,109 B","(1,027 B)","41,082 B",1956.60
12M 2011,"20,441 B","(1,541 B)","18,900 B",809.99
12M 2012,"8,799 B","(1,921 B)","6,878 B",294.78
12M 2013,"12,734 B","(1,584 B)","11,149 B",477.82
12M 2014,"21,092 B","(2,956 B)","18,135 B",777.23
12M 2015,"10,201 B","(1,709 B)","8,493 B",363.97
12M 2016,"41,521 B","(2,570 B)","38,951 B",1669.35
12M 2017,"4,953 B","(2,675 B)","2,277 B",48.80
12M 2018,"(31,962 B)","(3,294 B)","(35,256 B)",-755.50
12M 2019,"23,968 B","(4,835 B)","19,133 B",410.00
12M 2020,"102,061 B","(3,896 B)","98,165 B",2103.53
12M 2021,"129,892 B","(3,525 B)","126,368 B",2707.88
12M 2022,"100,726 B","(5,100 B)","95,626 B",2049.14
12M 2023,"(69,622 B)","(5,021 B)","(74,644 B)",-799.75
12M 2024,"(79,558 B)","(8,544 B)","(88,102 B)",-943.95
