Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.63 B,308.64,4.28,0.58,,1.44%,17.48%,3.86%,
12M 2009,3.18 B,168.95,10.06,1.45,,1.35%,15.79%,1.67%,
12M 2010,3.18 B,299.19,7.83,1.82,,1.84%,21.80%,2.34%,
12M 2011,3.65 B,294.40,10.06,2.08,,1.73%,22.01%,1.99%,
12M 2012,3.65 B,377.79,7.51,1.85,,2.11%,21.99%,2.42%,
12M 2013,6.96 B,75.36,25.61,2.76,,0.79%,8.58%,0.92%,
12M 2014,6.96 B,86.05,21.87,2.19,,0.90%,8.61%,0.97%,
12M 2015,6.96 B,151.18,20.39,3.32,,1.54%,9.14%,1.75%,
12M 2016,6.96 B,166.29,14.43,2.72,,1.64%,9.44%,2.12%,
12M 2017,6.96 B,186.69,16.84,3.42,,1.58%,9.95%,2.10%,
12M 2018,6.96 B,229.67,20.08,4.74,"2,172.55 B",1.91%,11.60%,2.35%,
12M 2019,6.96 B,287.59,20.78,5.58,"2,782.00 B",1.99%,12.89%,2.76%,
12M 2020,6.96 B,431.99,15.69,5.86,"4,037.02 B",2.68%,16.52%,3.51%,
12M 2021,6.96 B,575.56,13.86,6.85,"5,210.75 B",3.02%,20.94%,4.03%,
12M 2022,11.74 B,345.18,15.28,6.83,"5,276.31 B",2.86%,19.64%,3.64%,
12M 2023,11.74 B,299.01,17.06,5.86,"4,648.13 B",2.66%,16.14%,3.16%,
12M 2024,11.74 B,224.09,18.43,4.71,"3,544.00 B",1.95%,12.42%,2.42%,
