Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"(5,720 B)",(408 B),"(6,127 B)",-3769.68
12M 2009,"(4,924 B)",(375 B),"(5,299 B)",-1665.63
12M 2010,"1,724 B",(376 B),"1,348 B",423.74
12M 2011,"6,620 B",(463 B),"6,157 B",1688.67
12M 2012,(754 B),(225 B),(979 B),-268.49
12M 2013,"10,824 B",(191 B),"10,633 B",1526.96
12M 2014,"(2,344 B)",(124 B),"(2,468 B)",-354.35
12M 2015,"(4,802 B)",(63 B),"(4,865 B)",-698.68
12M 2016,"2,802 B",(88 B),"2,715 B",389.83
12M 2017,"5,356 B",(63 B),"5,293 B",760.02
12M 2018,"(3,200 B)",(137 B),"(3,337 B)",-479.24
12M 2019,"3,650 B",(94 B),"3,556 B",510.61
12M 2020,(545 B),(91 B),(637 B),-91.42
12M 2021,"10,933 B",(50 B),"10,882 B",1562.70
12M 2022,"16,561 B",(284 B),"16,277 B",1386.39
12M 2023,"(10,339 B)",(147 B),"(10,486 B)",-893.09
12M 2024,"15,463 B",(189 B),"15,274 B",1300.91
