Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,10.78,,65.27,,0.35,,0.13,-11.92,-11.92,0.91
12M 2009,21.73,2.51,52.19,-27.95,16.8,17.6,145.59,177.47,0.48,0.46,0.2,0.2,-37.63,-37.63,0.95
12M 2010,23.7,1.49,25.17,0.02,15.4,16.09,245.31,239.33,1.07,0.96,0.33,0.32,53.58,53.58,1.05
12M 2011,27.91,1.48,19.36,10.03,13.08,13.66,245.84,226.03,1.23,1.28,0.31,0.3,5.5,5.5,1.42
12M 2012,19.94,189.32,19.43,189.83,18.3,15.09,1.93,1.93,1.73,2.54,0.33,0.3,3.13,3.13,1.34
12M 2013,16.68,290.62,12.8,294.5,21.88,16.11,1.26,1.31,3.99,3.97,0.36,0.33,3.52,3.52,1.3
12M 2014,19.43,289.88,20.06,289.25,18.79,17.07,1.26,1.19,4.73,4.45,0.3,0.26,2.43,2.43,1.41
12M 2015,20.94,366.22,30.96,356.2,17.43,14.2,1.0,0.92,3.82,3.3,0.26,0.24,4.7,4.7,1.22
12M 2016,17.08,447.08,35.83,428.33,21.36,26.3,0.82,0.77,3.07,2.83,0.25,0.24,3.21,3.21,1.33
12M 2017,20.24,511.87,44.65,487.46,18.04,12.29,0.71,0.67,3.38,3.42,0.26,0.25,1.63,1.63,1.72
12M 2018,22.23,440.68,39.74,423.17,16.42,17.18,0.83,0.84,4.15,4.13,0.29,0.29,1.32,1.32,2.31
12M 2019,30.96,412.54,36.56,406.94,11.79,10.55,0.88,0.89,3.78,3.54,0.28,0.28,1.15,1.15,2.86
12M 2020,41.75,720.84,61.09,701.5,8.74,29.64,0.51,0.46,1.8,1.76,0.15,0.15,0.94,0.94,1.98
12M 2021,6.64,525.53,34.83,497.34,55.0,42.46,0.69,0.73,2.44,2.44,0.21,0.2,0.68,0.68,3.79
12M 2022,6.32,511.52,28.22,489.62,57.74,57.16,0.71,0.73,2.58,2.58,0.2,0.2,0.62,0.62,4.65
12M 2023,6.24,503.41,26.96,482.69,58.49,56.77,0.73,0.71,2.53,2.42,0.2,0.19,0.59,0.59,5.16
12M 2024,6.87,530.71,29.63,507.95,53.11,41.34,0.69,0.64,2.49,2.46,0.2,0.19,0.57,0.57,4.77
