Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,10.03 B,-0.58,-675.86,8.67,,-0.16%,-0.58%,10.29%,1.97
12M 2009,10.03 B,15.52,33.51,7.48,,4.48%,13.53%,6.53%,1.98
12M 2010,10.03 B,31.67,27.41,7.09,,8.07%,22.23%,14.29%,3.72
12M 2011,12.04 B,28.81,26.10,6.13,,6.04%,15.53%,14.62%,3.64
12M 2012,48.16 B,15.53,14.49,5.00,,9.89%,25.69%,19.95%,5.89
12M 2013,48.16 B,23.52,11.48,4.29,,12.18%,29.22%,25.21%,8.02
12M 2014,48.16 B,52.23,9.86,6.41,,15.00%,40.75%,19.58%,6.23
12M 2015,48.16 B,26.20,18.93,5.16,,6.72%,17.48%,16.64%,9.03
12M 2016,48.16 B,34.69,16.29,5.62,,8.08%,19.24%,14.86%,6.61
12M 2017,48.16 B,38.89,17.61,5.77,,8.02%,18.15%,16.20%,8.31
12M 2018,48.16 B,52.80,11.74,4.22,"3,909.46 B",10.16%,20.19%,17.57%,12.65
12M 2019,48.16 B,56.47,10.09,3.81,"3,952.52 B",10.42%,18.16%,15.81%,15.17
12M 2020,48.16 B,19.31,26.41,6.18,"2,050.52 B",3.51%,6.35%,6.69%,5.09
12M 2021,48.16 B,28.71,16.16,3.91,"2,916.29 B",4.79%,8.62%,9.46%,6.44
12M 2022,48.16 B,31.95,14.27,3.67,"3,282.11 B",5.03%,8.89%,9.67%,7.67
12M 2023,48.16 B,43.71,10.39,3.53,"3,361.73 B",6.44%,11.02%,9.15%,7.42
12M 2024,48.16 B,43.08,9.24,2.87,"3,583.95 B",5.87%,10.02%,9.29%,7.72
