Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,134 B,,134 B,13.38
12M 2009,83 B,,83 B,8.26
12M 2010,539 B,,539 B,53.69
12M 2011,346 B,(127 B),220 B,18.24
12M 2012,"1,368 B",(847 B),521 B,10.82
12M 2013,"2,103 B",(548 B),"1,555 B",32.28
12M 2014,"1,994 B","(1,092 B)",903 B,18.74
12M 2015,"1,742 B","(2,261 B)",(519 B),-10.78
12M 2016,"1,325 B","(1,136 B)",188 B,3.91
12M 2017,"2,258 B",(865 B),"1,393 B",28.92
12M 2018,"2,365 B",(758 B),"1,607 B",33.37
12M 2019,"1,770 B",(781 B),989 B,20.53
12M 2020,"1,419 B",(701 B),718 B,14.92
12M 2021,"2,239 B",(295 B),"1,944 B",40.36
12M 2022,"2,720 B",(838 B),"1,881 B",39.06
12M 2023,"2,734 B","(1,268 B)","1,466 B",30.44
12M 2024,"3,354 B","(1,189 B)","2,165 B",44.95
