Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(37 B),(222 B),(259 B),-205.32
12M 2012,(0 B),(312 B),(312 B),-104.05
12M 2013,86 B,(100 B),(14 B),-4.08
12M 2014,139 B,(62 B),78 B,21.85
12M 2015,39 B,(29 B),11 B,3.08
12M 2016,(21 B),(132 B),(154 B),-43.32
12M 2017,31 B,(29 B),2 B,0.44
12M 2018,(54 B),(100 B),(154 B),-43.34
12M 2019,(94 B),(105 B),(199 B),-55.96
12M 2020,(4 B),(0 B),(5 B),-1.28
12M 2021,(6 B),(0 B),(6 B),-1.82
12M 2022,(5 B),(0 B),(5 B),-1.32
12M 2023,(2 B),,(2 B),-0.62
