Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(57 B),(2 B),(59 B),-105.16
12M 2009,(6 B),(3 B),(9 B),-16.21
12M 2010,14 B,(13 B),1 B,1.55
12M 2011,14 B,(5 B),9 B,12.98
12M 2012,29 B,(19 B),10 B,13.89
12M 2013,23 B,(30 B),(6 B),-9.07
12M 2014,5 B,(13 B),(8 B),-11.45
12M 2015,101 B,(10 B),90 B,129.46
12M 2016,84 B,(42 B),43 B,61.16
12M 2017,52 B,(32 B),20 B,28.34
12M 2018,61 B,(40 B),21 B,30.00
12M 2019,116 B,(30 B),85 B,122.34
12M 2020,232 B,(11 B),221 B,315.72
12M 2021,46 B,(13 B),34 B,48.00
12M 2022,96 B,(9 B),87 B,24.89
12M 2023,92 B,(17 B),75 B,21.51
12M 2024,54 B,(16 B),38 B,10.74
