Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.56 B,6.56,18.14,0.36,,2.60%,6.21%,20.41%,4.80
12M 2009,0.56 B,28.63,3.49,0.27,,9.69%,23.02%,26.67%,6.71
12M 2010,0.56 B,46.89,4.39,0.45,,12.82%,24.61%,31.47%,7.01
12M 2011,0.70 B,37.75,7.42,0.60,,11.10%,20.29%,28.42%,7.35
12M 2012,0.70 B,51.48,6.80,0.64,,13.13%,20.66%,29.31%,11.99
12M 2013,0.70 B,55.60,7.01,0.65,,11.31%,17.72%,27.13%,15.47
12M 2014,0.70 B,57.30,8.99,0.68,,9.73%,15.76%,24.38%,13.37
12M 2015,0.70 B,67.47,5.93,0.53,,12.10%,17.28%,25.93%,14.92
12M 2016,0.70 B,125.67,4.69,0.73,,12.50%,15.40%,25.28%,38.84
12M 2017,0.70 B,107.84,6.44,0.75,,9.46%,11.77%,15.17%,32.66
12M 2018,0.70 B,103.55,8.26,0.81,123.50 B,8.48%,10.33%,13.73%,34.54
12M 2019,0.70 B,105.56,10.14,0.99,133.57 B,7.62%,8.93%,13.34%,44.02
12M 2020,0.70 B,133.81,9.42,1.31,142.39 B,8.64%,10.13%,12.35%,36.70
12M 2021,0.70 B,149.42,9.74,1.61,155.31 B,8.96%,10.46%,12.60%,50.45
12M 2022,3.49 B,21.96,12.75,1.59,110.77 B,6.28%,7.10%,8.28%,46.98
12M 2023,3.49 B,20.59,12.04,1.67,95.41 B,5.77%,6.46%,6.58%,38.88
12M 2024,3.49 B,18.44,11.50,1.40,85.65 B,4.98%,5.56%,5.37%,35.84
