Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.18 B,0.42,421.43,2.04,,0.37%,0.66%,5.55%,
12M 2009,0.18 B,1.03,154.37,1.82,,1.09%,1.26%,1.25%,
12M 2010,0.18 B,2.39,60.67,1.62,,2.64%,3.04%,3.50%,
12M 2011,0.18 B,3.77,38.46,1.45,,4.05%,5.41%,5.99%,
12M 2012,0.18 B,1.20,94.17,1.49,,1.31%,1.74%,2.49%,105.52
12M 2013,14.18 B,13.60,58.82,1257.65,,2.68%,2.68%,5.06%,1002885.87
12M 2014,14.18 B,27.68,33.06,6733.42,,5.18%,5.18%,4.99%,
12M 2015,14.18 B,29.38,38.97,1764.79,,5.26%,5.30%,5.07%,159.25
12M 2016,14.18 B,28.97,37.97,688.60,,4.93%,4.99%,4.82%,45.71
12M 2017,14.18 B,14.69,153.17,566.16,,1.91%,2.45%,2.12%,4.30
12M 2018,14.18 B,20.40,161.27,359.55,405.69 B,1.99%,3.25%,2.61%,1.36
12M 2019,14.18 B,36.88,83.24,168.91,717.03 B,3.38%,5.64%,3.91%,1.06
12M 2020,14.18 B,23.18,150.99,101.54,612.50 B,1.91%,3.33%,2.43%,0.67
12M 2021,14.18 B,66.49,49.48,55.26,"1,312.63 B",5.23%,8.73%,6.00%,1.72
12M 2022,14.18 B,90.92,45.53,51.59,"1,781.61 B",6.82%,10.62%,8.75%,2.62
12M 2023,14.18 B,50.83,92.47,47.96,"1,432.97 B",3.48%,5.62%,5.55%,1.65
12M 2024,14.18 B,75.58,119.08,89.41,"1,776.23 B",5.02%,7.68%,6.01%,2.11
