Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,5 B,(12 B),(7 B),-38.03
12M 2009,(1 B),(3 B),(4 B),-22.32
12M 2010,1 B,(1 B),0 B,2.66
12M 2011,(0 B),(0 B),(0 B),-0.47
12M 2012,0 B,(0 B),0 B,1.76
12M 2013,4 B,(1 B),3 B,0.20
12M 2014,8 B,(5 B),4 B,0.26
12M 2015,(19 B),(15 B),(33 B),-2.35
12M 2016,(59 B),(190 B),(250 B),-17.60
12M 2017,(122 B),(186 B),(307 B),-21.66
12M 2018,(294 B),(389 B),(683 B),-48.15
12M 2019,(532 B),(523 B),"(1,055 B)",-74.35
12M 2020,(310 B),(476 B),(786 B),-55.41
12M 2021,(48 B),(387 B),(435 B),-30.67
12M 2022,(65 B),(274 B),(339 B),-23.91
12M 2023,334 B,(397 B),(63 B),-4.44
12M 2024,199 B,(610 B),(410 B),-28.93
