Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,"(1,830 B)",(67 B),"(1,898 B)",-1897.53
12M 2008,"(3,068 B)",(73 B),"(3,141 B)",-3141.27
12M 2009,"(1,377 B)",(40 B),"(1,417 B)",-1417.04
12M 2010,"(9,505 B)",(91 B),"(9,596 B)",-9595.89
12M 2011,"(9,907 B)",(143 B),"(10,050 B)",-10050.07
12M 2012,"(3,136 B)",(117 B),"(3,253 B)",-3253.03
12M 2013,"(1,538 B)",(102 B),"(1,640 B)",-1640.46
12M 2014,"(1,032 B)",(146 B),"(1,178 B)",-1177.69
12M 2015,"2,657 B",(78 B),"2,580 B",2579.71
12M 2016,"2,542 B",(88 B),"2,453 B",2453.33
12M 2017,"1,006 B",(96 B),910 B,910.24
12M 2018,(656 B),(151 B),(807 B),-806.93
12M 2019,"1,179 B",(155 B),"1,024 B",1024.10
12M 2020,"8,453 B",(135 B),"8,318 B",8318.07
12M 2021,"4,066 B",(70 B),"3,996 B",3996.22
12M 2022,819 B,(48 B),772 B,771.66
12M 2023,"(4,052 B)",(149 B),"(4,201 B)",-4201.05
12M 2024,461 B,(269 B),192 B,192.35
