Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,1.80,1224.61,1.80,1224.61,,,,,
12M 2008,0.74,1950.00,0.74,1950.00,,,,,
12M 2009,2.58,2652.40,2.58,2652.40,,,,,
12M 2010,3.16,3794.76,3.19,3759.92,,,,,
12M 2011,2.87,4421.37,2.89,4392.86,,,,,
12M 2012,1.95,5035.77,1.96,4994.72,,,,,
12M 2013,1.35,6021.98,1.36,5974.35,,,,,
12M 2014,1.77,4067.57,1.80,4005.39,,,,,
12M 2015,0.80,4360.79,0.81,4286.80,,,,,
12M 2016,1.36,4977.20,1.38,4896.85,,,,,
12M 2017,1.24,5745.41,1.26,5639.37,,,,,
12M 2018,1.29,7028.20,1.32,6908.37,,,,,
12M 2019,1.29,8078.80,1.31,7918.30,,,,,
12M 2020,1.13,7925.27,1.16,7738.73,,,,,
12M 2021,0.87,8887.01,0.88,8717.71,,,,,
12M 2022,0.90,10032.39,0.91,9903.66,,,,,
12M 2023,0.99,11112.19,1.00,10991.53,,,,,
12M 2024,0.85,11555.74,0.87,11260.70,,,,,
