Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.32 B,-573.49,-0.39,0.09,,-20.28%,15.29%,-5.64%,25.67
12M 2009,1.32 B,1089.96,0.30,0.14,,44.53%,-40.97%,-0.93%,7.14
12M 2010,1.32 B,1190.28,0.35,0.16,,34.74%,-324.54%,69.94%,5.02
12M 2011,1.32 B,-28.82,-15.44,0.15,,-0.62%,-4.37%,5.73%,1.00
12M 2012,1.32 B,-22.95,-10.24,0.07,,-0.46%,-2.45%,0.00%,1.42
12M 2013,1.32 B,-358.31,-1.19,0.11,,-6.59%,-39.83%,0.00%,1.50
12M 2014,1.32 B,94.49,5.56,0.12,,1.73%,9.46%,8.34%,1.47
12M 2015,1.32 B,-117.85,-4.37,0.12,,-2.19%,-13.98%,3.20%,0.57
12M 2016,1.32 B,6.83,80.53,0.13,,0.12%,0.56%,2.44%,0.40
12M 2017,1.32 B,35.93,16.42,0.12,,0.92%,2.71%,6.02%,0.86
12M 2018,1.32 B,142.92,8.43,0.29,724.60 B,3.59%,8.44%,11.14%,2.58
12M 2019,1.32 B,95.82,7.31,0.24,601.95 B,2.20%,5.00%,8.29%,2.05
12M 2020,1.32 B,41.64,13.33,0.20,531.16 B,0.96%,2.06%,6.35%,1.66
12M 2021,1.32 B,493.13,4.48,0.66,"1,233.08 B",10.66%,18.76%,20.26%,6.65
12M 2022,6.62 B,129.06,4.07,0.68,"1,453.25 B",12.54%,19.04%,21.99%,10.52
12M 2023,6.62 B,85.05,5.15,0.60,"1,105.90 B",8.02%,11.35%,13.84%,8.54
12M 2024,6.62 B,47.03,6.59,0.46,794.82 B,4.41%,5.81%,7.27%,5.80
