Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,268 B,(99 B),169 B,128.04
12M 2009,548 B,(67 B),481 B,363.75
12M 2010,520 B,(299 B),221 B,166.67
12M 2011,180 B,(132 B),48 B,36.53
12M 2012,519 B,(353 B),166 B,125.60
12M 2013,638 B,(391 B),248 B,187.16
12M 2014,461 B,(227 B),234 B,176.64
12M 2015,368 B,(223 B),145 B,109.56
12M 2016,235 B,(185 B),50 B,37.82
12M 2017,244 B,(128 B),116 B,87.50
12M 2018,227 B,(185 B),43 B,32.34
12M 2019,176 B,(309 B),(133 B),-100.81
12M 2020,399 B,(166 B),233 B,176.28
12M 2021,873 B,(111 B),762 B,576.29
12M 2022,796 B,(157 B),639 B,96.66
12M 2023,468 B,(274 B),194 B,29.28
12M 2024,477 B,(230 B),247 B,37.32
