Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,7.03,,3.65,,1.74,,0.89,-0.49,-0.49,0.19
12M 2009,49.37,91.85,37.36,103.86,7.39,9.12,3.97,4.38,1.76,1.82,0.91,0.96,-0.62,-0.62,0.22
12M 2010,39.56,79.21,36.1,82.67,9.23,10.3,4.61,4.28,1.36,1.33,0.87,0.9,7.95,7.95,1.56
12M 2011,36.11,77.12,23.62,71.15,,11.64,4.73,4.22,0.98,0.99,0.73,0.73,8.2,8.2,1.54
12M 2012,33.28,67.62,38.7,62.2,10.97,10.72,5.4,5.3,0.94,0.95,0.72,0.73,10.14,10.14,1.47
12M 2013,32.77,60.95,41.37,52.35,11.14,10.38,5.99,5.82,0.98,0.98,0.76,0.75,30.12,30.12,1.13
12M 2014,34.24,63.32,50.44,47.12,10.66,10.52,5.76,5.34,1.02,1.02,0.78,0.78,33.85,33.85,1.11
12M 2015,31.38,67.24,58.07,40.55,11.63,14.31,5.43,5.18,1.04,1.05,0.8,0.81,-25.14,-25.14,0.87
12M 2016,28.7,68.41,66.11,31.0,12.72,13.7,5.34,5.21,1.0,1.02,0.78,0.79,-22.29,-22.29,0.86
12M 2017,31.18,49.86,58.59,22.45,11.71,21.15,7.32,20.0,1.26,3.22,0.97,2.42,-33.23,-33.23,0.87
12M 2018,34.75,44.18,47.05,31.88,10.5,11.05,8.26,8.03,1.4,1.41,1.07,1.08,-69.61,-69.61,0.93
12M 2019,45.26,73.15,48.19,70.22,8.06,8.24,4.99,4.6,0.94,0.95,0.71,0.7,13.4,13.4,1.25
12M 2020,50.55,66.85,39.35,78.05,7.22,7.82,5.46,5.76,0.86,0.84,0.65,0.66,62.03,62.03,1.05
12M 2021,52.11,57.17,30.39,78.89,7.0,6.52,6.38,6.17,1.0,1.01,0.75,0.74,8.84,8.84,1.43
12M 2022,52.75,63.04,29.15,86.64,6.92,6.88,5.79,5.15,1.15,1.16,0.78,0.76,4.34,4.34,2.01
12M 2023,55.44,86.72,31.68,110.48,6.58,6.53,4.21,3.69,1.07,1.07,0.7,0.7,3.65,3.65,2.17
12M 2024,58.77,104.5,29.49,133.78,6.21,5.95,3.49,3.41,0.97,0.98,0.63,0.63,2.93,2.93,2.69
