Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.87,0.59,1.26,3.52,0.0,0.0,1.22,0.36,2.52
12M 2009,0.79,0.51,0.78,3.0,0.0,0.0,0.73,0.26,2.0
12M 2010,1.23,0.99,0.6,2.86,0.0,0.0,0.56,0.21,1.86
12M 2011,1.08,0.8,0.4,2.17,0.0,0.0,0.27,0.18,1.17
12M 2012,1.4,1.06,0.2,1.72,0.0,0.0,0.14,0.12,0.72
12M 2013,1.63,1.3,0.32,2.0,0.0,0.0,0.27,0.16,1.0
12M 2014,2.03,1.39,0.04,1.65,0.0,0.0,-0.06,0.02,0.65
12M 2015,2.03,1.39,0.04,1.64,0.0,0.0,-0.06,0.02,0.64
12M 2016,1.83,1.4,0.23,1.78,0.0,0.0,0.09,0.13,0.78
12M 2017,4.39,3.92,0.0,1.39,0.0,0.0,-0.69,0.0,0.39
12M 2018,4.06,3.48,0.0,1.39,0.0,0.0,-0.59,0.0,0.39
12M 2019,1.53,0.71,0.0,2.81,0.0,0.0,-0.31,0.0,1.81
12M 2020,1.33,0.92,0.27,3.25,0.0,0.0,0.16,0.08,2.25
12M 2021,1.05,0.68,1.89,6.56,0.0,0.0,1.57,0.29,5.56
12M 2022,0.88,0.58,10.99,25.59,0.0,0.0,10.4,0.43,24.59
12M 2023,0.77,0.49,22.88,56.2,0.0,0.0,20.73,0.41,55.19
12M 2024,0.38,0.25,-0.96,-1.52,-0.0,0.0,-0.94,0.63,-2.52
