Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.27 B,-19.62,-2.55,0.12,,-10.94%,-38.53%,-15.38%,-16.83
12M 2009,1.27 B,6.51,7.68,0.12,,3.78%,11.33%,-9.02%,-18.57
12M 2010,1.27 B,-0.52,-96.15,0.15,,-0.31%,-0.88%,-8.64%,-6.32
12M 2011,1.27 B,0.99,61.62,0.19,,0.66%,1.43%,2.35%,2.02
12M 2012,1.27 B,66.05,0.80,0.17,,54.32%,93.59%,7.41%,1.74
12M 2013,1.27 B,-3.80,-13.68,0.15,,-2.85%,-5.70%,-2.37%,-0.92
12M 2014,1.27 B,31.09,3.18,0.25,,19.25%,31.77%,34.55%,21.00
12M 2015,1.27 B,31.26,1.63,0.13,,19.35%,31.67%,29.65%,21.12
12M 2016,1.27 B,2.59,19.31,0.07,,1.44%,2.55%,5.96%,1.99
12M 2017,1.27 B,133.14,4.06,0.69,,41.10%,56.96%,71.61%,49.08
12M 2018,1.27 B,-16.68,-35.97,0.78,(20.98 B),-5.48%,-7.63%,-9.05%,-209.67
12M 2019,1.27 B,-21.73,-24.62,0.37,(16.93 B),-3.96%,-11.14%,-11.01%,-159.95
12M 2020,1.27 B,-32.32,-13.80,0.18,(11.95 B),-6.05%,-19.65%,-15.55%,-23.30
12M 2021,1.27 B,-90.74,-4.56,0.20,(83.55 B),-18.77%,-123.07%,-61.91%,-11.59
12M 2022,1.39 B,-99.07,-3.98,0.34,(109.53 B),-31.58%,-808.21%,-183.75%,-11.45
12M 2023,2.39 B,-46.38,-2.61,0.20,(78.31 B),-34.78%,-1954.83%,-471.77%,-7.76
12M 2024,2.39 B,-67.04,-1.83,0.22,(131.00 B),-68.90%,104.68%,212.05%,-11.21
