Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,898.45,0.00,898.45,22 B,50 B,72 B,70 B,44 B
12M 2012,2.48,121.89,2.48,121.89,45 B,40 B,86 B,54 B,107 B
12M 2013,2.30,248.24,2.30,248.24,90 B,381 B,471 B,399 B,481 B
12M 2014,1.44,243.61,1.44,243.61,107 B,462 B,569 B,464 B,495 B
12M 2015,1.40,231.86,1.40,231.86,57 B,313 B,370 B,367 B,205 B
12M 2016,1.50,219.90,1.50,219.90,42 B,341 B,383 B,377 B,(82 B)
12M 2017,2.03,191.29,2.03,191.29,16 B,496 B,512 B,507 B,13 B
12M 2018,2.26,176.62,2.26,176.62,5 B,462 B,467 B,463 B,(58 B)
12M 2019,2.29,173.70,2.29,173.70,11 B,507 B,518 B,515 B,(23 B)
12M 2020,1.81,170.12,1.81,170.12,15 B,485 B,501 B,476 B,(40 B)
12M 2021,1.69,165.99,1.69,165.99,,458 B,458 B,443 B,(43 B)
12M 2022,0.31,159.19,0.31,159.19,,458 B,458 B,457 B,(35 B)
12M 2023,0.34,147.04,0.34,147.04,,458 B,458 B,451 B,(41 B)
