Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.12 B,25.94,0.00,0.00,,1.52%,2.89%,13.72%,1.57
12M 2012,1.55 B,10.43,28.95,2.00,,4.98%,8.56%,15.59%,3.18
12M 2013,2.18 B,5.51,103.45,2.56,,0.80%,2.22%,10.58%,1.35
12M 2014,2.19 B,-4.61,-76.36,2.32,,-0.81%,-1.89%,3.43%,0.75
12M 2015,2.19 B,-11.11,-29.25,2.35,,-2.06%,-4.79%,1.09%,0.20
12M 2016,2.19 B,-12.09,-27.30,2.43,,-2.27%,-5.50%,3.38%,0.65
12M 2017,2.19 B,-28.48,-13.62,3.24,,-5.63%,-14.89%,-3.86%,-0.94
12M 2018,2.19 B,-15.00,-26.67,3.02,9.69 B,-2.96%,-8.49%,-2.56%,-1.22
12M 2019,2.19 B,-3.36,-118.45,2.54,24.83 B,-0.67%,-1.93%,-0.90%,-1.43
12M 2020,2.19 B,-4.78,-64.44,2.10,24.40 B,-0.95%,-2.81%,0.25%,0.24
12M 2021,2.19 B,-4.06,-68.97,1.67,26.99 B,-0.82%,-2.45%,0.65%,0.46
12M 2022,2.19 B,-7.32,-6.83,0.27,22.35 B,-1.57%,-4.60%,0.22%,0.17
12M 2023,2.19 B,-11.79,-4.24,0.38,10.93 B,-2.63%,-8.02%,-0.86%,-0.64
