Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.09 B,-252.73,-3.56,0.27,,-20.22%,10.14%,-462.52%,13.31
12M 2009,0.09 B,143.47,6.27,0.32,,13.00%,-6.11%,-100.16%,11.71
12M 2010,0.09 B,106.43,8.46,0.24,,10.49%,-4.75%,-58.10%,10.14
12M 2011,0.09 B,28.33,31.77,0.42,,2.66%,-1.28%,-12.41%,
12M 2012,0.09 B,30.50,29.51,0.32,,2.62%,-1.40%,-18.14%,
12M 2013,0.09 B,-187.79,-3.73,0.22,,-13.69%,7.92%,-31.03%,0.45
12M 2014,0.09 B,116.85,5.99,0.21,,9.66%,-5.18%,-77.77%,2.04
12M 2015,0.09 B,-8.97,-39.02,0.14,,-0.77%,0.38%,218.99%,0.84
12M 2016,0.61 B,28.63,6.81,0.69,,18.92%,-17.92%,401.72%,3.90
12M 2017,0.61 B,25.97,2.66,0.27,,17.68%,-18.66%,445.34%,2.53
12M 2018,0.61 B,3.86,14.51,0.23,17.68 B,2.39%,-2.91%,173.71%,1.20
12M 2019,0.61 B,5.01,9.98,0.24,7.58 B,1.24%,4.73%,6.44%,0.87
12M 2020,0.61 B,-51.83,-0.96,0.53,(36.32 B),-14.09%,-106.99%,-20.72%,-11.73
12M 2021,0.61 B,-33.32,-7.38,3.58,(21.19 B),-9.27%,-216.14%,-13.60%,-5.36
12M 2022,0.61 B,-3.90,-30.00,0.62,16.21 B,-0.76%,-2.74%,8.18%,0.94
12M 2023,0.61 B,-7.58,-11.87,0.60,(4.69 B),-1.47%,-5.78%,-2.40%,-1.47
12M 2024,0.61 B,-24.19,-3.60,0.57,(7.54 B),-4.60%,-22.37%,-3.99%,-0.74
