Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(3 B),(1 B),(4 B),-50.78
12M 2009,8 B,(1 B),7 B,80.97
12M 2010,4 B,(1 B),3 B,34.41
12M 2011,1 B,(2 B),(1 B),-13.07
12M 2012,14 B,(2 B),12 B,144.24
12M 2013,11 B,(2 B),9 B,104.97
12M 2014,12 B,(2 B),10 B,115.28
12M 2015,38 B,(1 B),37 B,434.29
12M 2016,17 B,(1 B),16 B,26.53
12M 2017,10 B,(1 B),9 B,14.71
12M 2018,(1 B),(2 B),(2 B),-4.06
12M 2019,(7 B),(1 B),(8 B),-13.11
12M 2020,(3 B),(0 B),(3 B),-4.53
12M 2021,(5 B),(2 B),(7 B),-12.11
12M 2022,(4 B),(0 B),(5 B),-7.87
12M 2023,(2 B),(0 B),(2 B),-3.59
12M 2024,1 B,(1 B),(0 B),-0.78
