Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.53,0.18,-1.06,-0.5,-0.0,0.0,-1.06,2.12,-1.5
12M 2009,0.58,0.17,-0.95,-0.47,-0.0,0.0,-0.94,2.03,-1.47
12M 2010,0.56,0.13,-0.94,-0.45,-0.0,0.0,-0.92,2.07,-1.45
12M 2011,0.52,0.14,-0.95,-0.48,-0.0,0.0,-0.93,1.98,-1.48
12M 2012,0.55,0.15,-0.84,-0.53,-0.0,0.0,-0.81,1.58,-1.53
12M 2013,0.53,0.21,-0.85,-0.58,-0.0,0.0,-0.79,1.47,-1.58
12M 2014,0.92,0.33,-1.23,-0.54,-0.0,0.0,-1.18,2.3,-1.54
12M 2015,0.93,0.54,-1.17,-0.49,-0.0,0.0,-1.04,2.38,-1.49
12M 2016,0.89,0.46,-1.14,-0.95,-0.0,0.0,-0.96,1.21,-1.95
12M 2017,0.86,0.45,-1.17,-1.06,-0.0,0.0,-0.96,1.11,-2.06
12M 2018,0.95,0.28,-1.19,-1.21,-0.0,0.0,-1.12,0.98,-2.21
12M 2019,1.48,0.33,1.5,3.82,0.0,0.0,1.43,0.39,0.0
12M 2020,0.94,0.2,3.52,7.6,0.0,0.0,3.42,0.46,6.6
12M 2021,0.62,0.15,11.29,23.32,0.0,0.0,11.23,0.48,22.32
12M 2022,0.71,0.16,1.27,3.59,0.0,0.0,1.25,0.35,2.59
12M 2023,0.53,0.09,1.09,3.92,0.0,0.0,1.08,0.28,2.92
12M 2024,0.49,0.06,1.39,4.86,0.0,0.0,1.37,0.29,3.86
