Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,104 B,(71 B),33 B,12.74
12M 2009,173 B,(26 B),147 B,57.11
12M 2010,553 B,(35 B),518 B,167.60
12M 2011,337 B,(365 B),(28 B),-9.00
12M 2012,"1,291 B",(38 B),"1,253 B",405.21
12M 2013,87 B,(32 B),55 B,15.90
12M 2014,"2,548 B",(81 B),"2,467 B",709.29
12M 2015,"1,709 B",(234 B),"1,475 B",342.73
12M 2016,(978 B),(108 B),"(1,086 B)",-220.79
12M 2017,"2,350 B",(143 B),"2,207 B",448.62
12M 2018,"(1,374 B)",(182 B),"(1,556 B)",-243.94
12M 2019,"(3,300 B)",(95 B),"(3,395 B)",-496.82
12M 2020,519 B,(115 B),404 B,59.11
12M 2021,"7,171 B",(84 B),"7,087 B",598.91
12M 2022,"3,680 B","(1,359 B)","2,321 B",196.17
12M 2023,"(3,092 B)",(217 B),"(3,309 B)",-279.63
12M 2024,184 B,(182 B),2 B,0.17
