Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,169 B,(59 B),110 B,244.78
12M 2009,213 B,(78 B),136 B,301.16
12M 2010,57 B,(134 B),(77 B),-171.18
12M 2011,142 B,(229 B),(87 B),-193.29
12M 2012,376 B,(360 B),16 B,35.99
12M 2013,169 B,(243 B),(74 B),-163.38
12M 2014,364 B,(838 B),(475 B),-1054.92
12M 2015,362 B,(91 B),270 B,600.93
12M 2016,648 B,(93 B),555 B,1234.11
12M 2017,326 B,(196 B),130 B,289.78
12M 2018,602 B,(118 B),484 B,1075.73
12M 2019,526 B,(63 B),463 B,1029.53
12M 2020,42 B,(15 B),27 B,60.62
12M 2021,191 B,(83 B),108 B,241.05
12M 2022,763 B,(133 B),629 B,1398.85
12M 2023,950 B,(182 B),768 B,1706.19
12M 2024,373 B,(93 B),279 B,620.19
