Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,16 B,(37 B),(21 B),-8.45
12M 2013,52 B,(52 B),0 B,0.08
12M 2014,4 B,(30 B),(26 B),-10.29
12M 2015,108 B,(58 B),50 B,20.19
12M 2016,146 B,(16 B),130 B,52.05
12M 2017,224 B,(33 B),191 B,76.45
12M 2018,(78 B),(27 B),(105 B),-42.20
12M 2019,(68 B),(6 B),(75 B),-29.98
12M 2020,(141 B),(2 B),(143 B),-57.12
12M 2021,133 B,(3 B),129 B,51.87
12M 2022,4 B,(13 B),(9 B),-3.72
12M 2023,163 B,(14 B),148 B,59.41
12M 2024,65 B,(11 B),54 B,21.76
