Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,2.48 B,37.04,0.00,0.00,,10.99%,34.26%,102.21%,60.35
12M 2013,2.48 B,75.73,8.85,0.55,,11.55%,23.91%,36.98%,168.90
12M 2014,2.48 B,112.05,10.35,0.87,,15.06%,27.96%,21.71%,8019.28
12M 2015,2.50 B,79.44,7.87,0.43,,9.94%,18.25%,16.67%,1979.37
12M 2016,2.50 B,40.50,8.15,0.33,,4.74%,8.85%,11.67%,1704.78
12M 2017,2.50 B,61.47,6.18,0.44,,6.55%,12.76%,16.87%,3313.74
12M 2018,2.50 B,47.26,8.17,0.39,191.54 B,5.23%,9.76%,12.46%,1761.74
12M 2019,2.50 B,40.52,9.48,0.37,191.00 B,4.11%,8.28%,13.16%,42.80
12M 2020,2.50 B,22.08,17.12,0.45,148.50 B,2.48%,4.78%,10.41%,8.99
12M 2021,2.50 B,20.69,14.02,0.43,140.41 B,2.41%,4.43%,10.20%,7.82
12M 2022,2.50 B,29.91,10.10,0.31,184.68 B,3.04%,6.20%,12.67%,8.81
12M 2023,2.50 B,39.86,8.33,0.29,207.39 B,4.26%,8.30%,14.99%,15.49
12M 2024,2.50 B,32.69,10.77,0.26,206.26 B,3.44%,6.78%,14.98%,13.96
