Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2009,0.41,0.28,0.0,1.33,0.0,0.0,-0.01,0.0,0.32
12M 2010,0.63,0.41,0.04,1.32,0.0,0.0,0.02,0.03,0.31
12M 2011,0.72,0.37,0.02,1.34,0.0,0.0,0.0,0.01,0.33
12M 2012,0.24,0.2,0.25,1.9,0.0,0.0,0.21,0.13,0.89
12M 2013,1.09,1.05,0.41,1.65,0.0,0.0,0.1,0.25,0.65
12M 2014,1.19,1.13,0.37,1.63,0.0,0.0,0.02,0.23,0.62
12M 2015,0.71,0.66,0.36,1.65,0.0,0.0,0.11,0.22,0.65
12M 2016,2.17,2.12,0.13,1.34,0.0,0.0,-0.29,0.09,0.34
12M 2017,1.37,1.32,0.06,1.33,0.0,0.0,-0.09,0.05,0.33
12M 2018,0.71,0.67,0.09,1.49,0.0,0.0,-0.03,0.06,0.49
12M 2019,0.58,0.54,0.19,1.75,0.0,0.0,0.06,0.11,0.75
12M 2020,0.54,0.5,0.64,2.48,0.0,0.0,0.28,0.26,1.48
12M 2021,0.38,0.36,0.51,2.53,0.0,0.0,0.15,0.2,1.53
12M 2022,0.56,0.54,1.0,3.04,0.0,0.0,0.41,0.33,2.04
12M 2023,0.47,0.45,0.96,3.02,0.0,0.0,0.69,0.32,2.02
12M 2024,0.32,0.3,1.01,3.1,0.0,0.0,0.86,0.33,2.1
