Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(278 B),(9 B),(287 B),-89.31
12M 2009,(530 B),(20 B),(550 B),-123.57
12M 2010,(290 B),(20 B),(310 B),-69.60
12M 2011,(698 B),(14 B),(713 B),-160.16
12M 2012,55 B,(36 B),19 B,4.06
12M 2013,"(1,033 B)",(47 B),"(1,080 B)",-226.86
12M 2014,163 B,(66 B),97 B,20.36
12M 2015,(495 B),(31 B),(526 B),-110.53
12M 2016,(12 B),(5 B),(17 B),-3.67
12M 2017,(78 B),(12 B),(90 B),-3.46
12M 2018,(19 B),(5 B),(25 B),-0.95
12M 2019,(9 B),(1 B),(10 B),-0.38
12M 2020,8 B,(0 B),8 B,0.29
12M 2021,21 B,(0 B),21 B,0.79
12M 2022,5 B,,5 B,0.20
12M 2023,19 B,(0 B),19 B,0.72
12M 2024,57 B,(0 B),57 B,2.18
