Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.63 B,220.01,0.00,0.00,,3.63%,6.15%,32.81%,3.98
12M 2009,3.14 B,64.28,0.00,0.00,,5.36%,8.39%,14.72%,6.53
12M 2010,5.13 B,98.23,12.42,1.87,,11.67%,17.41%,22.47%,11.88
12M 2011,5.64 B,107.73,30.63,4.50,,8.52%,14.07%,26.76%,8.61
12M 2012,5.64 B,573.07,6.81,4.70,,32.17%,47.82%,19.21%,17.38
12M 2013,5.64 B,182.47,30.42,5.40,,8.02%,13.32%,18.27%,16.86
12M 2014,5.64 B,193.57,40.30,6.74,,5.49%,7.81%,11.32%,9.84
12M 2015,5.64 B,236.08,43.63,9.04,,7.61%,9.70%,11.82%,42.71
12M 2016,5.64 B,68.28,146.16,7.64,,1.89%,2.76%,7.21%,44.26
12M 2017,5.64 B,7.76,1224.23,7.06,,0.20%,0.30%,3.11%,10.56
12M 2018,5.64 B,-464.84,-18.07,5.29,"2,911.76 B",-13.43%,-22.00%,1.71%,5.19
12M 2019,5.64 B,-268.69,-20.77,2.84,"1,090.92 B",-8.64%,-15.35%,-11.73%,-27.53
12M 2020,5.64 B,364.67,38.39,6.62,"3,889.53 B",11.51%,19.26%,8.67%,25.48
12M 2021,61.24 B,92.41,24.67,10.87,"4,314.81 B",14.83%,19.90%,5.43%,13.32
12M 2022,61.24 B,88.89,11.59,6.40,"5,267.54 B",12.24%,15.20%,1.82%,8.89
12M 2023,61.32 B,-2.30,-256.52,3.91,"4,282.39 B",-0.33%,-0.41%,-0.50%,-2.50
12M 2024,61.39 B,23.95,20.54,2.47,"5,978.20 B",3.20%,4.14%,2.49%,9.58
