Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,455 B,(178 B),277 B,440.20
12M 2009,490 B,(130 B),360 B,114.73
12M 2010,856 B,(88 B),768 B,149.79
12M 2011,"1,093 B",(296 B),797 B,141.30
12M 2012,"1,124 B",(323 B),801 B,142.06
12M 2013,"1,607 B",(596 B),"1,011 B",179.22
12M 2014,"1,447 B",(704 B),743 B,131.80
12M 2015,"1,709 B",(496 B),"1,213 B",215.06
12M 2016,"1,208 B",(943 B),265 B,47.00
12M 2017,"1,052 B","(1,191 B)",(139 B),-24.56
12M 2018,776 B,"(1,240 B)",(464 B),-82.22
12M 2019,"(1,602 B)",(845 B),"(2,447 B)",-433.65
12M 2020,"1,813 B",(306 B),"1,507 B",266.92
12M 2021,"1,572 B",(455 B),"1,117 B",18.23
12M 2022,(811 B),(648 B),"(1,459 B)",-23.82
12M 2023,"1,138 B",(972 B),167 B,2.72
12M 2024,"1,453 B",(616 B),837 B,13.63
