Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,42 B,(12 B),30 B,301.39
12M 2010,16 B,(14 B),2 B,2.58
12M 2011,21 B,(25 B),(5 B),-4.48
12M 2012,(14 B),(24 B),(38 B),-35.41
12M 2013,(3 B),(66 B),(69 B),-64.52
12M 2014,2 B,(36 B),(34 B),-31.81
12M 2015,1 B,(18 B),(17 B),-15.74
12M 2016,5 B,(22 B),(17 B),-15.98
12M 2017,(33 B),(25 B),(58 B),-53.90
12M 2018,7 B,(16 B),(9 B),-8.49
12M 2019,(10 B),(4 B),(14 B),-12.92
12M 2020,1 B,(8 B),(7 B),-6.37
12M 2021,(127 B),(1 B),(128 B),-119.79
12M 2022,(13 B),(3 B),(16 B),-14.56
12M 2023,3 B,(3 B),1 B,0.47
12M 2024,7 B,(2 B),4 B,4.11
