Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,5.63,,1.76
12M 2010,95.9,91.54,58.15,129.29,3.81,6.45,3.99,8.18,11.22,21.34,1.86,3.4,5.79,5.79,1.59
12M 2011,106.08,71.11,55.08,122.11,3.44,3.45,5.13,4.93,10.76,9.81,1.48,1.16,1.87,1.87,4.08
12M 2012,124.73,56.63,54.78,126.58,2.93,2.6,6.45,6.26,9.67,9.32,1.25,1.2,1.93,1.93,3.71
12M 2013,161.29,61.41,59.66,163.04,2.26,2.34,5.94,5.42,5.95,5.33,1.05,1.06,1.89,1.89,3.99
12M 2014,157.87,70.56,52.05,176.38,2.31,2.3,5.17,4.5,4.73,4.6,1.09,1.1,2.03,2.03,3.95
12M 2015,168.1,78.52,51.28,195.34,2.17,2.21,4.65,4.55,4.72,4.76,1.1,1.11,2.18,2.18,3.13
12M 2016,181.96,95.16,49.28,227.84,2.01,2.07,3.84,3.49,4.69,4.66,1.01,0.98,2.16,2.16,3.04
12M 2017,183.21,101.38,59.36,225.23,1.99,2.01,3.6,3.06,4.91,4.84,0.98,0.95,2.73,2.73,2.06
12M 2018,231.23,132.53,71.79,291.97,1.58,1.96,2.75,2.64,3.52,3.67,0.7,0.76,3.3,3.3,1.63
12M 2019,145.93,126.15,48.97,223.11,2.5,2.98,2.89,2.75,4.04,4.15,0.87,0.9,8.53,8.53,1.25
12M 2020,152.69,185.91,85.06,253.54,2.39,3.85,1.96,1.84,0.75,0.76,0.38,0.39,-2.62,-2.62,0.62
12M 2021,98.89,255.7,94.54,260.05,3.69,4.64,1.43,1.34,0.38,0.38,0.25,0.25,-3.79,-3.79,0.75
12M 2022,53.52,163.75,51.13,166.14,6.82,5.45,2.23,2.19,0.8,0.8,0.5,0.49,-4.06,-4.06,0.68
12M 2023,48.98,122.36,48.54,122.8,7.45,6.89,2.98,2.96,0.95,0.95,0.6,0.6,-4.21,-4.21,0.62
12M 2024,47.32,114.95,50.83,111.44,7.71,7.45,3.18,3.28,0.99,0.99,0.64,0.64,-4.56,-4.56,0.63
