Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,154 B,(166 B),(11 B),-19.12
12M 2011,272 B,(138 B),134 B,222.83
12M 2012,108 B,(653 B),(544 B),-740.44
12M 2013,186 B,"(1,761 B)","(1,576 B)",-1983.71
12M 2014,666 B,"(6,295 B)","(5,629 B)",-4948.64
12M 2015,967 B,(596 B),372 B,326.92
12M 2016,"1,418 B",(602 B),815 B,716.78
12M 2017,"2,085 B",(711 B),"1,373 B",1207.29
12M 2018,"1,637 B",(372 B),"1,265 B",1112.35
12M 2019,"1,877 B",(530 B),"1,347 B",1184.40
12M 2020,"1,502 B",(413 B),"1,089 B",957.32
12M 2021,"1,567 B",(395 B),"1,173 B",1030.71
12M 2022,"1,608 B",(315 B),"1,293 B",1136.84
12M 2023,"1,639 B",(240 B),"1,399 B",1229.93
12M 2024,"1,425 B",(96 B),"1,329 B",1168.11
